dt_kst,open,close,low,high,acc_price,acc_vol,mid,eye_base,eye_trans,eye_fore1,eye_fore2,eye_fore_diff,mid_eye_fore1,mid_eye_fore2,mid_eye_fore,mid_eye_fore_pre,eye_trans_base,low_point,high_point,ma40,mid_ma40,ema112,mid_ema112,good
2017-12-01 00:00:00,10777000.0,10434000.0,10401000.0,11089000.0,20591924747.7,1915.14761917,10745000.0,,,,,,,,middle,,under,False,False,,under,,under,False
2017-12-01 00:30:00,10460000.0,10533000.0,10350000.0,10640000.0,9598063787.1,912.11922135,10495000.0,,,,,,,,middle,middle,under,True,False,,under,,under,False
2017-12-01 01:00:00,10533000.0,10673000.0,10510000.0,10752000.0,6780946129.25,637.39989032,10631000.0,,,,,,,,middle,middle,under,False,True,,under,,under,False
2017-12-01 01:30:00,10673000.0,10614000.0,10515000.0,10673000.0,4408727376.62,415.82119705,10594000.0,,,,,,,,middle,middle,under,False,False,,under,,under,False
2017-12-01 02:00:00,10612000.0,10526000.0,10517000.0,10630000.0,2432209275.21,229.96702169,10573500.0,,,,,,,,middle,middle,under,False,False,,under,,under,False
2017-12-01 02:30:00,10526000.0,10926000.0,10526000.0,10999000.0,7072470344.99,655.00288855,10762500.0,,,,,,,,middle,middle,under,False,False,,under,,under,False
2017-12-01 03:00:00,10926000.0,11030000.0,10855000.0,11198000.0,7954027989.62,718.57931034,11026500.0,,,,,,,,middle,middle,under,False,True,,under,,under,False
2017-12-01 03:30:00,11030000.0,10966000.0,10805000.0,11059000.0,3595364353.93,328.16768824,10932000.0,,,,,,,,middle,middle,under,True,False,,under,,under,False
2017-12-01 04:00:00,10966000.0,11287000.0,10937000.0,11296000.0,4465670055.99,399.68359848,11116500.0,,10823000.0,,,,,,middle,middle,under,False,False,,under,,under,False
2017-12-01 04:30:00,11290000.0,11433000.0,11203000.0,11510000.0,5459435250.67,479.41621578,11356500.0,,10930000.0,,,,,,middle,middle,under,False,False,,under,,under,False
2017-12-01 05:00:00,11433000.0,11388000.0,11087000.0,11600000.0,6131510543.23,539.12020668,11343500.0,,11055000.0,,,,,,middle,middle,under,True,True,,under,,under,False
2017-12-01 05:30:00,11389000.0,11140000.0,11110000.0,11415000.0,2870684478.84,255.30752201,11262500.0,,11057500.0,,,,,,middle,middle,under,False,False,,under,,under,False
2017-12-01 06:00:00,11140000.0,11360000.0,11000000.0,11450000.0,4825096582.39,429.81239635,11225000.0,,11058500.0,,,,,,middle,middle,under,True,False,,under,,under,False
2017-12-01 06:30:00,11360000.0,11507000.0,11355000.0,11750000.0,8545866738.42,740.50368986,11552500.0,,11138000.0,,,,,,middle,middle,under,False,False,,under,,under,False
2017-12-01 07:00:00,11497000.0,11802000.0,11000000.0,11840000.0,9969261089.16,856.27556617,11420000.0,,11322500.0,,,,,,middle,middle,under,True,True,,under,,under,False
2017-12-01 07:30:00,11801000.0,11801000.0,11600000.0,11811000.0,8264101992.0,703.28458547,11705500.0,,11322500.0,,,,,,middle,middle,under,False,False,,under,,under,False
2017-12-01 08:00:00,11804000.0,12180000.0,11801000.0,12300000.0,17050061431.8,1408.042226,12050500.0,,11618500.0,,,,,,middle,middle,under,False,True,,under,,under,False
2017-12-01 08:30:00,12185000.0,11935000.0,11700000.0,12187000.0,12952206740.2,1084.36331643,11943500.0,,11650000.0,,,,,,middle,middle,under,True,False,,under,,under,False
2017-12-01 09:00:00,11935000.0,11854000.0,11800000.0,12148000.0,10347866367.8,864.00827228,11974000.0,,11650000.0,,,,,,middle,middle,under,False,False,,under,,under,False
2017-12-01 09:30:00,11854000.0,11604000.0,11528000.0,12000000.0,10864776353.1,921.97443698,11764000.0,,11650000.0,,,,,,middle,middle,under,False,False,,under,,under,False
2017-12-01 10:00:00,11602000.0,11250000.0,11233000.0,11636000.0,9851928065.42,860.36204272,11434500.0,,11650000.0,,,,,,middle,middle,under,False,False,,under,,under,False
2017-12-01 10:30:00,11235000.0,11525000.0,11201000.0,11530000.0,7194303517.03,631.65807464,11365500.0,,11650000.0,,,,,,middle,middle,under,True,False,,under,,under,False
2017-12-01 11:00:00,11530000.0,11375000.0,11350000.0,11549000.0,4857038436.86,424.2907399,11449500.0,,11650000.0,,,,,,middle,middle,under,False,False,,under,,under,False
2017-12-01 11:30:00,11381000.0,11668000.0,11351000.0,11710000.0,5570447864.36,482.51174641,11530500.0,,11750500.0,,,,,,middle,middle,under,False,True,,under,,under,False
2017-12-01 12:00:00,11668000.0,11587000.0,11490000.0,11700000.0,5781461758.99,497.51986508,11595000.0,,11750500.0,,,,,,middle,middle,under,False,False,,under,,under,False
2017-12-01 12:30:00,11600000.0,11599000.0,11500000.0,11622000.0,4083176599.26,352.96483064,11561000.0,11325000.0,11694000.0,,,,,,middle,middle,over,False,False,,under,,under,False
2017-12-01 13:00:00,11599000.0,11742000.0,11587000.0,11850000.0,8020985643.21,683.65474785,11718500.0,11325000.0,11674500.0,,,,,,middle,middle,over,False,True,,under,,under,False
2017-12-01 13:30:00,11742000.0,11691000.0,11652000.0,11789000.0,5089807073.14,434.30354395,11720500.0,11405000.0,11600500.0,,,,,,middle,middle,over,False,False,,under,,under,False
